space_id,room_name,capacity_found_at,gid,url
30489,M 7,1,7432,https://libcal.library.utoronto.ca/space/30489
30490,M 8,1,7432,https://libcal.library.utoronto.ca/space/30490
30491,M 9,1,7432,https://libcal.library.utoronto.ca/space/30491
30492,M10,1,7432,https://libcal.library.utoronto.ca/space/30492
30493,M11,1,7432,https://libcal.library.utoronto.ca/space/30493
30494,M12,1,7432,https://libcal.library.utoronto.ca/space/30494
30495,M13,1,7432,https://libcal.library.utoronto.ca/space/30495
30496,M14,1,7432,https://libcal.library.utoronto.ca/space/30496
30497,M15,1,7432,https://libcal.library.utoronto.ca/space/30497
30498,M28,1,7432,https://libcal.library.utoronto.ca/space/30498
30499,M30,1,7432,https://libcal.library.utoronto.ca/space/30499
30500,M32,1,7432,https://libcal.library.utoronto.ca/space/30500
30501,M34,1,7433,https://libcal.library.utoronto.ca/space/30501
30502,M36,1,7433,https://libcal.library.utoronto.ca/space/30502
30503,M40,2,7434,https://libcal.library.utoronto.ca/space/30503
30504,M42,2,7434,https://libcal.library.utoronto.ca/space/30504
30505,M46,2,7434,https://libcal.library.utoronto.ca/space/30505
30506,M48,2,7434,https://libcal.library.utoronto.ca/space/30506
30507,C130,2,7434,https://libcal.library.utoronto.ca/space/30507
30508,C132,2,7434,https://libcal.library.utoronto.ca/space/30508
30509,C134,2,7434,https://libcal.library.utoronto.ca/space/30509
30510,C136,2,7434,https://libcal.library.utoronto.ca/space/30510
30645,Room 201,2,7449,https://libcal.library.utoronto.ca/space/30645
30646,Room 202,2,7449,https://libcal.library.utoronto.ca/space/30646
30647,Room 231,2,7449,https://libcal.library.utoronto.ca/space/30647
30648,Room 206,2,7449,https://libcal.library.utoronto.ca/space/30648
30649,Room 205,2,7449,https://libcal.library.utoronto.ca/space/30649
33397,UC366A,1,7996,https://libcal.library.utoronto.ca/space/33397
33398,UC366B,1,7996,https://libcal.library.utoronto.ca/space/33398
33255,Pratt Study Room 202,3,7970,https://libcal.library.utoronto.ca/space/33255
